Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Win Method,Event Name,Event Location,Event Date
"Michel Prazeres","0","33","3","0","Lightweight","Lost","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Ray Borg","0","19","5","4","Flyweight","SUBKimura","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Chris Kelades","0","4","0","0","Flyweight","Lost","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Efrain Escudero","1","94","2","0","Lightweight","U-DEC","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"de Lima","0","24","3","0","Lightweight","Lost","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Chas Skelly","1","42","0","0","Featherweight","KO/TKOPunches","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Jim Alers","0","33","1","1","Featherweight","Lost","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Zach Makovsky","0","21","6","0","Flyweight","U-DEC","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Tim Elliott","0","43","1","0","Flyweight","Lost","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"James Moontasri","0","32","0","1","Lightweight","SUBRearNakedChoke","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Cody Pfister","0","12","0","0","Lightweight","Lost","UFC Fight Night: Henderson vs Thatch","Broomfield, Colorado, USA","February 14, 2015"
"Anderson Silva","0","108","0","0","Middleweight","Overturned","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Nick Diaz","0","77","0","0","Middleweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Tyron Woodley","0","27","0","0","Welterweight","S-DEC","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Kelvin Gastelum","0","32","0","0","Welterweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Al Iaquinta","1","59","1","0","Lightweight","KO/TKOPunches","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Joe Lauzon","0","32","0","0","Lightweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Thales Leites","0","20","1","2","Middleweight","SUBArmTriangle","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Tim Boetsch","1","26","0","0","Middleweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Thiago Alves","1","23","0","0","Welterweight","KO/TKOKick","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Jordan Mein","0","37","0","0","Welterweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Miesha Tate","0","23","0","2","Women'sBantamweight","M-DEC","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Sara McMann","1","34","1","0","Women'sBantamweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Derek Brunson","1","11","0","0","Middleweight","KO/TKOPunch","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Ed Herman","0","0","0","0","Middleweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"John Lineker","0","38","0","3","Flyweight","U-DEC","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Ian McCall","0","40","1","0","Flyweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Rafael Natal","0","67","8","0","Middleweight","U-DEC","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Tom Watson","0","29","0","0","Middleweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Ildemar Alcantara","0","21","0","0","Middleweight","S-DEC","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Richardson Moreira","0","15","0","0","Middleweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Thiago Santos","1","20","0","0","Middleweight","KO/TKOPunches","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Andy Enz","0","1","0","0","Middleweight","Lost","UFC 183: Silva vs Diaz","Las Vegas, Nevada, USA","January 31, 2015"
"Anthony Johnson","1","30","0","0","LightHeavyweight","KO/TKOPunches","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Alexander Gustafsson","0","10","0","0","LightHeavyweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Gegard Mousasi","1","4","0","0","Middleweight","KO/TKOPunch","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Dan Henderson","0","4","0","0","Middleweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Ryan Bader","0","26","1","0","LightHeavyweight","S-DEC","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Phil Davis","0","35","0","0","LightHeavyweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Sam Sicilia","1","10","0","0","Featherweight","KO/TKOPunch","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Akira Corassani","0","10","0","0","Featherweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Albert Tumenov","0","87","0","0","Welterweight","U-DEC","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Nicholas Musoke","0","65","0","0","Welterweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Kenny Robertson","1","14","0","0","Welterweight","KO/TKOPunch","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Sultan Aliev","0","8","0","0","Welterweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Makwan Amirkhani","1","6","0","0","Featherweight","KO/TKOPunches","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Andy Ogle","0","0","0","0","Featherweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Nikita Krylov","1","13","0","1","LightHeavyweight","SUBGuillotineChoke","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Stanislav Nedkov","0","4","0","0","LightHeavyweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Mairbek Taisumov","0","37","2","0","Lightweight","KO/TKOPunches","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Anthony Christodoulou","0","9","0","0","Lightweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Mirsad Bektic","0","34","2","0","Featherweight","U-DEC","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Paul Redmond","0","2","0","0","Featherweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Viktor Pesta","0","35","4","0","Heavyweight","U-DEC","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Konstantin Erokhin","0","17","0","0","Heavyweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Neil Seery","0","56","1","4","Flyweight","U-DEC","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Chris Beal","0","39","2","0","Flyweight","Lost","UFC on FOX: Gustafsson vs Johnson","Stockholm, Sweden","January 24, 2015"
"Conor McGregor","1","64","0","0","Featherweight","KO/TKOPunch","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Dennis Siver","0","32","0","0","Featherweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Donald Cerrone","0","57","1","0","Lightweight","U-DEC","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Benson Henderson","0","86","0","0","Lightweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Uriah Hall","1","27","0","0","Middleweight","KO/TKO","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Ron Stallings","0","10","0","0","Middleweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Gleison Tibau","0","38","2","0","Lightweight","S-DEC","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Norman Parke","0","43","0","0","Lightweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Cathal Pendred","0","49","4","0","Welterweight","U-DEC","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Sean Spencer","1","52","0","0","Welterweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Lorenz Larkin","1","29","0","0","Welterweight","KO/TKOPunch","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"John Howard","0","10","0","0","Welterweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Chris Wade","0","47","4","0","Lightweight","U-DEC","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Zhang Lipeng","0","28","0","0","Lightweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Paddy Holohan","0","42","3","2","Flyweight","U-DEC","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Shane Howell","0","22","0","0","Flyweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Johnny Case","0","59","4","0","Lightweight","KO/TKOPunches","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Frankie Perez","0","16","1","1","Lightweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Charles Rosa","0","37","5","4","Featherweight","SUBD'ArceChoke","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Sean Soriano","0","69","3","0","Featherweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Sean O'Connell","1","66","0","0","LightHeavyweight","KO/TKOPunches","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Van Buren","0","100","0","0","LightHeavyweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Joby Sanchez","1","58","2","1","Flyweight","S-DEC","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Tateki Matsuda","0","55","0","0","Flyweight","Lost","UFC Fight Night: McGregor vs Siver","Boston, Massachusetts, USA","January 18, 2015"
"Jon Jones","0","92","3","0","LightHeavyweight","U-DEC","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Daniel Cormier","0","58","1","0","LightHeavyweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Donald Cerrone","0","37","1","2","Lightweight","U-DEC","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Myles Jury","0","15","1","0","Lightweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Brad Tavares","0","50","1","0","Middleweight","U-DEC","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Nate Marquardt","0","30","0","0","Middleweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Kyoji Horiguchi","0","44","1","0","Flyweight","U-DEC","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Louis Gaudinot","0","23","0","2","Flyweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Hector Lombard","0","53","2","0","Welterweight","Overturned","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Joshua Burkman","0","42","0","0","Welterweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Paul Felder","1","33","0","0","Lightweight","KO/TKOSpinningBackFist","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Danny Castillo","0","21","0","0","Lightweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Cody Garbrandt","2","49","1","0","Bantamweight","KO/TKOPunches","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Marcus Brimage","0","43","0","0","Bantamweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Shawn Jordan","1","12","0","0","Heavyweight","KO/TKOPunch","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Jared Cannonier","0","10","0","0","Heavyweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Evan Dunham","0","152","1","0","Lightweight","U-DEC","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Rodrigo Damm","0","47","0","0","Lightweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Omari Akhmedov","0","64","5","0","Welterweight","U-DEC","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Mats Nilsson","0","33","5","3","Welterweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Marion Reneau","0","85","0","0","Women'sBantamweight","U-DEC","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Alexis Dufresne","0","28","0","0","Women'sBantamweight","Lost","UFC 182: Jones vs Cormier","Las Vegas, Nevada, USA","January 03, 2015"
"Lyoto Machida","1","12","0","0","Middleweight","KO/TKOKick","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"CB Dollaway","0","0","0","0","Middleweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Renan Barao","1","59","2","1","Bantamweight","SUBArmTriangle","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Mitch Gagnon","0","58","0","0","Bantamweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Patrick Cummins","0","62","4","0","LightHeavyweight","U-DEC","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Carlos Junior","0","12","1","1","LightHeavyweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Rashid Magomedov","2","91","1","0","Lightweight","KO/TKOPunches","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Elias Silverio","0","56","0","0","Lightweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Erick Silva","0","2","1","1","Welterweight","SUBArmTriangle","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Mike Rhodes","0","2","0","0","Welterweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Daniel Sarafian","0","24","0","0","Middleweight","KO/TKO","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Dos Santos","1","37","0","0","Middleweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Marcos Rogerio","1","18","0","0","LightHeavyweight","KO/TKOPunches","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Igor Pokrajac","0","3","0","0","LightHeavyweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Renato Moicano","0","48","1","1","Featherweight","SUBRearNakedChoke","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Tom Niinimaki","0","33","0","0","Featherweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Hacran Dias","0","30","5","0","Featherweight","U-DEC","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Darren Elkins","0","37","1","1","Featherweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Leandro Issa","0","25","2","1","Bantamweight","SUBNeckCrank","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Yuta Sasaki","0","8","1","1","Bantamweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Tim Means","0","43","1","0","Welterweight","S-DEC","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Alexandre Junior","0","36","1","0","Welterweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Vitor Miranda","0","14","0","0","Middleweight","KO/TKOKick","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Jake Collier","0","15","2","1","Middleweight","Lost","UFC Fight Night: Machida vs Dollaway","Barueri, Sao Paulo, Brazil","December 20, 2014"
"Junior Dos","1","123","1","0","Heavyweight","U-DEC","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Stipe Miocic","0","89","1","0","Heavyweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Rafael Dos","0","77","2","0","Lightweight","U-DEC","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Nate Diaz","0","13","0","0","Lightweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Alistair Overeem","0","17","1","0","Heavyweight","KO/TKOPunch","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Stefan Struve","0","2","0","0","Heavyweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Matt Mitrione","1","12","0","0","Heavyweight","KO/TKOPunch","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Gabriel Gonzaga","0","6","0","0","Heavyweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Joanna Jedrzejczyk","1","38","0","0","Women'sStrawweight","S-DEC","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Claudia Gadelha","0","27","7","1","Women'sStrawweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"John Moraga","0","56","1","1","Flyweight","SUBRearNakedChoke","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Willie Gates","1","22","0","1","Flyweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Ben Saunders","0","4","0","0","Welterweight","SUBInjury","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Joe Riggs","0","2","1","0","Welterweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Drew Dober","0","5","0","1","Lightweight","SUBRearNakedChoke","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Jamie Varner","0","4","0","0","Lightweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Bryan Barberena","1","63","0","0","Lightweight","KO/TKOPunches","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Joe Ellenberger","0","24","3","0","Lightweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"David Michaud","0","77","4","0","Lightweight","U-DEC","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Garett Whiteley","0","75","0","0","Lightweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Henry Cejudo","1","72","0","0","Bantamweight","U-DEC","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Dustin Kimura","0","25","0","0","Bantamweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Ian Entwistle","0","0","0","3","Bantamweight","SUBHeelHook","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Anthony Birchak","0","4","1","0","Bantamweight","Lost","UFC on FOX: Dos Santos vs Miocic","Phoenix, Arizona, USA","December 13, 2014"
"Robbie Lawler","0","116","0","0","Welterweight","S-DEC","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Johny Hendricks","0","111","5","1","Welterweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Anthony Pettis","0","30","0","1","Lightweight","SUBGuillotineChoke","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Gilbert Melendez","0","27","1","0","Lightweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Travis Browne","0","25","1","0","Heavyweight","KO/TKOPunches","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Brendan Schaub","0","5","1","0","Heavyweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Todd Duffee","1","8","0","0","Heavyweight","KO/TKOPunch","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Anthony Hamilton","0","2","0","0","Heavyweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Tony Ferguson","0","20","1","1","Lightweight","SUBRearNakedChoke","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Abel Trujillo","1","15","2","0","Lightweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Urijah Faber","1","19","0","1","Bantamweight","SUBBulldogChoke","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Francisco Rivera","0","15","0","0","Bantamweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Josh Samman","1","11","1","0","Middleweight","KO/TKOKick","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Eddie Gordon","0","8","2","0","Middleweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Corey Anderson","0","45","7","0","LightHeavyweight","U-DEC","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Justin Jones","0","28","0","1","LightHeavyweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Raquel Pennington","0","5","1","1","Women'sBantamweight","SUBBulldogChoke","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Ashlee Evans-Smith","0","11","1","0","Women'sBantamweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Sergio Pettis","0","78","0","2","Bantamweight","U-DEC","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Matt Hobar","1","36","2","0","Bantamweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Clay Collard","1","60","3","2","Featherweight","U-DEC","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Alex White","0","58","1","1","Featherweight","Lost","UFC 181: Hendricks vs Lawler II","Las Vegas, Nevada, USA","December 06, 2014"
"Frankie Edgar","0","93","7","2","Featherweight","SUBNeckCrank","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Cub Swanson","0","31","0","0","Featherweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Edson Barboza","0","54","0","0","Lightweight","U-DEC","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Bobby Green","0","50","0","0","Lightweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Chico Camus","0","71","1","0","Flyweight","S-DEC","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Brad Pickett","0","53","2","0","Flyweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Aleksei Oleinik","1","13","0","0","Heavyweight","KO/TKOPunch","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Jared Rosholt","0","19","0","0","Heavyweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Joseph Benavidez","0","94","2","0","Flyweight","U-DEC","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Dustin Ortiz","0","37","2","0","Flyweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Matt Wiman","0","68","0","0","Lightweight","U-DEC","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Isaac Vallie-Flagg","0","80","0","0","Lightweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Ruslan Magomedov","1","63","1","0","Heavyweight","U-DEC","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Josh Copeland","0","20","0","0","Heavyweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Roger Narvaez","1","48","0","2","Middleweight","S-DEC","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Luke Barnatt","0","34","0","0","Middleweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"James Vick","0","40","0","0","Lightweight","U-DEC","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Nick Hein","2","25","0","0","Lightweight","Lost","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
"Akbarh Arreola","1","12","1","1","Lightweight","SUBArmbar","UFC Fight Night: Edgar vs Swanson","Austin, Texas, USA","November 22, 2014"
